layername,device
input,0
0,0
1,0
2,0
3,1
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,2
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,2
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,1
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,1
102,0
103,0
104,0
105,0
106,1
107,2
108,2
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,2
119,2
120,0
121,0
122,1
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,2
135,2
136,0
137,0
138,2
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,1
151,1
152,0
153,0
154,1
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,2
165,2
166,2
167,1
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,0
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,2
193,1
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,0
204,1
205,2
206,2
207,1
208,1
209,1
210,2
211,0
212,0
213,0
214,0
215,0
216,0
output_,0
217,1
218,1
219,1
220,1
221,1
222,1
223,0
224,0
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
output,0
